Image,Info,Vendor,Name
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cloud-Nine_premium__3.5g_136x119.jpg?v=1555536130""
        alt=""Delta 9 - Cloud Nine""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cloud-Nine_premium__3.5g_136x119.jpg?v=1555536130 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cloud-Nine_premium__3.5g_272x238.jpg?v=1555536130 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cloud-Nine_premium__3.5g_408x357.jpg?v=1555536130 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cloud-Nine_premium__3.5g_544x476.jpg?v=1555536130 4x""
        
        
        
      > Delta 9 - Cloud Nine View full details","THC: 21-24%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Cloud Nine
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__White-Russian__3.5g_136x153.jpg?v=1555536447""
        alt=""Delta 9 - White Russian""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__White-Russian__3.5g_136x153.jpg?v=1555536447 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__White-Russian__3.5g_272x306.jpg?v=1555536447 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__White-Russian__3.5g_408x459.jpg?v=1555536447 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__White-Russian__3.5g_544x612.jpg?v=1555536447 4x""
        
        
        
      > Delta 9 - White Russian View full details","THC: 12-13%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - White Russian
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Black-Domina__3.5g_136x153.jpg?v=1555536027""
        alt=""Delta 9 - Black Domina""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Black-Domina__3.5g_136x153.jpg?v=1555536027 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Black-Domina__3.5g_272x306.jpg?v=1555536027 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Black-Domina__3.5g_408x459.jpg?v=1555536027 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Black-Domina__3.5g_544x612.jpg?v=1555536027 4x""
        
        
        
      > Delta 9 - Black Domina View full details Terpenes","THC: 10-12%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
          
            
              Terpenes
          
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Black Domina
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Master-Kush__3.5g_136x153.jpg?v=1555536235""
        alt=""Delta 9 - Master Kush""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Master-Kush__3.5g_136x153.jpg?v=1555536235 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Master-Kush__3.5g_272x306.jpg?v=1555536235 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Master-Kush__3.5g_408x459.jpg?v=1555536235 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Master-Kush__3.5g_544x612.jpg?v=1555536235 4x""
        
        
        
      > Delta 9 - Master Kush View full details","THC: 12-14%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Master Kush
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/Trainwreck-Temp_136x136.jpg?v=1556316485""
        alt=""Delta 9 - Trainwreck""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/Trainwreck-Temp_136x136.jpg?v=1556316485 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/Trainwreck-Temp_272x272.jpg?v=1556316485 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/Trainwreck-Temp_408x408.jpg?v=1556316485 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/Trainwreck-Temp_544x544.jpg?v=1556316485 4x""
        
        
        
      > Delta 9 - Trainwreck View full details","THC: 14-15%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Hybrid",Delta 9 Cannabis,Delta 9 - Trainwreck
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__AK-47__3.5g_136x153.jpg?v=1555535988""
        alt=""Delta 9 - AK-47""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__AK-47__3.5g_136x153.jpg?v=1555535988 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__AK-47__3.5g_272x306.jpg?v=1555535988 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__AK-47__3.5g_408x459.jpg?v=1555535988 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__AK-47__3.5g_544x612.jpg?v=1555535988 4x""
        
        
        
      > Delta 9 - AK-47 View full details","THC: 14-15%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Sativa",Delta 9 Cannabis,Delta 9 - AK-47
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cannatonic__3.5g_136x153.jpg?v=1556315599""
        alt=""Delta 9 - Cannatonic""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cannatonic__3.5g_136x153.jpg?v=1556315599 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cannatonic__3.5g_272x306.jpg?v=1556315599 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cannatonic__3.5g_408x459.jpg?v=1556315599 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Cannatonic__3.5g_544x612.jpg?v=1556315599 4x""
        
        
        
      > Delta 9 - Cannatonic View full details","THC: 10-11%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Hybrid",Delta 9 Cannabis,Delta 9 - Cannatonic
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/jbCL8qzq1BnLzeelpaT5_jpg_136x139.png?v=1563568977""
        alt=""Vertical - Kent County Kush""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/jbCL8qzq1BnLzeelpaT5_jpg_136x139.png?v=1563568977 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/jbCL8qzq1BnLzeelpaT5_jpg_272x278.png?v=1563568977 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/jbCL8qzq1BnLzeelpaT5_jpg_408x417.png?v=1563568977 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/jbCL8qzq1BnLzeelpaT5_jpg_544x556.png?v=1563568977 4x""
        
        
        
      > Vertical - Kent County Kush","THC: 15-17%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Vertical,Vertical - Kent County Kush
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/JA9nxeCeClPZTizr6YnD_136x136.jpg?v=1563568817""
        alt=""Vertical - Riverview Ride""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/JA9nxeCeClPZTizr6YnD_136x136.jpg?v=1563568817 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/JA9nxeCeClPZTizr6YnD_272x272.jpg?v=1563568817 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/JA9nxeCeClPZTizr6YnD_408x408.jpg?v=1563568817 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/JA9nxeCeClPZTizr6YnD_544x544.jpg?v=1563568817 4x""
        
        
        
      >
    
  
  
  
        
        
    
      Save 25% Vertical - Riverview Ride View full details","THC: 5-6%
            
          
          
            
            
              CBD: 7-8%
            
          
          
        
        
        
          
            
              Hybrid",Vertical,Vertical - Riverview Ride
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100242-00628242050166-a1c1-fr-c01_1024x1024_890c5616-a2b6-402c-b8ec-cb201159ae54_136x136.png?v=1548093122""
        alt=""Royal High - Super Skunk""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100242-00628242050166-a1c1-fr-c01_1024x1024_890c5616-a2b6-402c-b8ec-cb201159ae54_136x136.png?v=1548093122 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100242-00628242050166-a1c1-fr-c01_1024x1024_890c5616-a2b6-402c-b8ec-cb201159ae54_272x272.png?v=1548093122 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100242-00628242050166-a1c1-fr-c01_1024x1024_890c5616-a2b6-402c-b8ec-cb201159ae54_408x408.png?v=1548093122 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100242-00628242050166-a1c1-fr-c01_1024x1024_890c5616-a2b6-402c-b8ec-cb201159ae54_544x544.png?v=1548093122 4x""
        
        
        
      > Royal High - Super Skunk View full details","THC: 15-16%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Royal High,Royal High - Super Skunk
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100935-00628242050289-a1c1-en_1024x1024_1aff5f2b-e052-415a-b3d0-d1f829a398bb_136x136.png?v=1554406684""
        alt=""Royal High - CBD Tonic""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100935-00628242050289-a1c1-en_1024x1024_1aff5f2b-e052-415a-b3d0-d1f829a398bb_136x136.png?v=1554406684 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100935-00628242050289-a1c1-en_1024x1024_1aff5f2b-e052-415a-b3d0-d1f829a398bb_272x272.png?v=1554406684 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100935-00628242050289-a1c1-en_1024x1024_1aff5f2b-e052-415a-b3d0-d1f829a398bb_408x408.png?v=1554406684 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100935-00628242050289-a1c1-en_1024x1024_1aff5f2b-e052-415a-b3d0-d1f829a398bb_544x544.png?v=1554406684 4x""
        
        
        
      >
    
  
  
  
        
        
    
      Sale Royal High - CBD Tonic View full details","THC: 6-7%
            
          
          
            
            
              CBD: 8-9%
            
          
          
        
        
        
          
            
              Hybrid",Royal High,Royal High - CBD Tonic
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100244-00628242050227-a1c1-en-c01_1024x1024_79443755-967f-4ab0-99d4-83b5718523ec_136x136.png?v=1548092315""
        alt=""Royal High - Great White Shark""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100244-00628242050227-a1c1-en-c01_1024x1024_79443755-967f-4ab0-99d4-83b5718523ec_136x136.png?v=1548092315 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100244-00628242050227-a1c1-en-c01_1024x1024_79443755-967f-4ab0-99d4-83b5718523ec_272x272.png?v=1548092315 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100244-00628242050227-a1c1-en-c01_1024x1024_79443755-967f-4ab0-99d4-83b5718523ec_408x408.png?v=1548092315 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/http-52-60-121-34-upload-100244-00628242050227-a1c1-en-c01_1024x1024_79443755-967f-4ab0-99d4-83b5718523ec_544x544.png?v=1548092315 4x""
        
        
        
      > Royal High - Great White Shark View full details","THC: 15-17%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Royal High,Royal High - Great White Shark
